attr_id,attr_value,products
searchRank,3,prod10520271
searchRank,1,LU9AMOS
searchRank,3,prod10630016
searchRank,3,LW3DXJS
searchRank,3,LW5DVES
searchRank,3,LW5DVDS
searchRank,3,LM3DEES
searchRank,3,LW6BS0S
searchRank,3,LW1CY7S
searchRank,3,LW1DFAS
searchRank,3,LW6BR3S
searchRank,3,LM3CKQS
searchRank,3,LW1DFYS
searchRank,3,LW5DTOA
searchRank,3,LM3CQFS
searchRank,3,LW1DFBS
searchRank,3,LW1DGAS
searchRank,3,LW1DDSS
